date,store,sku,sales
2024-01-01,Store_A,SKU_1,65.0
2024-01-02,Store_A,SKU_1,73.0
2024-01-03,Store_A,SKU_1,73.0
2024-01-04,Store_A,SKU_1,77.0
2024-01-05,Store_A,SKU_1,69.0
2024-01-06,Store_A,SKU_1,69.0
2024-01-07,Store_A,SKU_1,69.0
2024-01-08,Store_A,SKU_1,68.0
2024-01-09,Store_A,SKU_1,60.0
2024-01-10,Store_A,SKU_1,78.0
2024-01-11,Store_A,SKU_1,77.0
2024-01-12,Store_A,SKU_1,66.0
2024-01-13,Store_A,SKU_1,71.0
2024-01-14,Store_A,SKU_1,70.0
2024-01-15,Store_A,SKU_1,70.0
2024-01-16,Store_A,SKU_1,63.0
2024-01-17,Store_A,SKU_1,71.0
2024-01-18,Store_A,SKU_1,77.0
2024-01-19,Store_A,SKU_1,87.0
2024-01-20,Store_A,SKU_1,77.0
2024-01-21,Store_A,SKU_1,76.0
2024-01-22,Store_A,SKU_1,73.0
2024-01-23,Store_A,SKU_1,72.0
2024-01-24,Store_A,SKU_1,80.0
2024-01-25,Store_A,SKU_1,77.0
2024-01-26,Store_A,SKU_1,73.0
2024-01-27,Store_A,SKU_1,71.0
2024-01-28,Store_A,SKU_1,75.0
2024-01-29,Store_A,SKU_1,74.0
2024-01-30,Store_A,SKU_1,77.0
2024-01-31,Store_A,SKU_1,76.0
2024-02-01,Store_A,SKU_1,79.0
2024-02-02,Store_A,SKU_1,71.0
2024-02-03,Store_A,SKU_1,83.0
2024-02-04,Store_A,SKU_1,91.0
2024-02-05,Store_A,SKU_1,84.0
2024-02-06,Store_A,SKU_1,79.0
2024-02-07,Store_A,SKU_1,82.0
2024-02-08,Store_A,SKU_1,73.0
2024-02-09,Store_A,SKU_1,70.0
2024-02-10,Store_A,SKU_1,82.0
2024-02-11,Store_A,SKU_1,76.0
2024-02-12,Store_A,SKU_1,72.0
2024-02-13,Store_A,SKU_1,75.0
2024-02-14,Store_A,SKU_1,73.0
2024-02-15,Store_A,SKU_1,80.0
2024-02-16,Store_A,SKU_1,82.0
2024-02-17,Store_A,SKU_1,84.0
2024-02-18,Store_A,SKU_1,84.0
2024-02-19,Store_A,SKU_1,84.0
2024-02-20,Store_A,SKU_1,79.0
2024-02-21,Store_A,SKU_1,77.0
2024-02-22,Store_A,SKU_1,73.0
2024-02-23,Store_A,SKU_1,86.0
2024-02-24,Store_A,SKU_1,80.0
2024-02-25,Store_A,SKU_1,79.0
2024-02-26,Store_A,SKU_1,87.0
2024-02-27,Store_A,SKU_1,76.0
2024-02-28,Store_A,SKU_1,85.0
2024-02-29,Store_A,SKU_1,83.0
2024-03-01,Store_A,SKU_1,76.0
2024-03-02,Store_A,SKU_1,81.0
2024-03-03,Store_A,SKU_1,86.0
2024-03-04,Store_A,SKU_1,86.0
2024-03-05,Store_A,SKU_1,89.0
2024-03-06,Store_A,SKU_1,83.0
2024-03-07,Store_A,SKU_1,99.0
